,Survived,Pclass,Age,SibSp,Parch,Fare,Male,Embarked_S,Embarked_C,Embarked_Q
0,0,3,22.0,1,0,7.25,1,1,0,0
1,1,1,38.0,1,0,71.2833,0,0,1,0
2,1,3,26.0,0,0,7.925,0,1,0,0
3,1,1,35.0,1,0,53.1,0,1,0,0
4,0,3,35.0,0,0,8.05,1,1,0,0
5,0,3,,0,0,8.4583,1,0,0,1
6,0,1,54.0,0,0,51.8625,1,1,0,0
7,0,3,2.0,3,1,21.075,1,1,0,0
8,1,3,27.0,0,2,11.1333,0,1,0,0
9,1,2,14.0,1,0,30.0708,0,0,1,0
10,1,3,4.0,1,1,16.7,0,1,0,0
11,1,1,58.0,0,0,26.55,0,1,0,0
12,0,3,20.0,0,0,8.05,1,1,0,0
13,0,3,39.0,1,5,31.275,1,1,0,0
14,0,3,14.0,0,0,7.8542,0,1,0,0
15,1,2,55.0,0,0,16.0,0,1,0,0
16,0,3,2.0,4,1,29.125,1,0,0,1
17,1,2,,0,0,13.0,1,1,0,0
18,0,3,31.0,1,0,18.0,0,1,0,0
19,1,3,,0,0,7.225,0,0,1,0
20,0,2,35.0,0,0,26.0,1,1,0,0
21,1,2,34.0,0,0,13.0,1,1,0,0
22,1,3,15.0,0,0,8.0292,0,0,0,1
23,1,1,28.0,0,0,35.5,1,1,0,0
24,0,3,8.0,3,1,21.075,0,1,0,0
25,1,3,38.0,1,5,31.3875,0,1,0,0
26,0,3,,0,0,7.225,1,0,1,0
27,0,1,19.0,3,2,263.0,1,1,0,0
28,1,3,,0,0,7.8792,0,0,0,1
29,0,3,,0,0,7.8958,1,1,0,0
30,0,1,40.0,0,0,27.7208,1,0,1,0
31,1,1,,1,0,146.5208,0,0,1,0
32,1,3,,0,0,7.75,0,0,0,1
33,0,2,66.0,0,0,10.5,1,1,0,0
34,0,1,28.0,1,0,82.1708,1,0,1,0
35,0,1,42.0,1,0,52.0,1,1,0,0
36,1,3,,0,0,7.2292,1,0,1,0
37,0,3,21.0,0,0,8.05,1,1,0,0
38,0,3,18.0,2,0,18.0,0,1,0,0
39,1,3,14.0,1,0,11.2417,0,0,1,0
40,0,3,40.0,1,0,9.475,0,1,0,0
41,0,2,27.0,1,0,21.0,0,1,0,0
42,0,3,,0,0,7.8958,1,0,1,0
43,1,2,3.0,1,2,41.5792,0,0,1,0
44,1,3,19.0,0,0,7.8792,0,0,0,1
45,0,3,,0,0,8.05,1,1,0,0
46,0,3,,1,0,15.5,1,0,0,1
47,1,3,,0,0,7.75,0,0,0,1
48,0,3,,2,0,21.6792,1,0,1,0
49,0,3,18.0,1,0,17.8,0,1,0,0
50,0,3,7.0,4,1,39.6875,1,1,0,0
51,0,3,21.0,0,0,7.8,1,1,0,0
52,1,1,49.0,1,0,76.7292,0,0,1,0
53,1,2,29.0,1,0,26.0,0,1,0,0
54,0,1,65.0,0,1,61.9792,1,0,1,0
55,1,1,,0,0,35.5,1,1,0,0
56,1,2,21.0,0,0,10.5,0,1,0,0
57,0,3,28.5,0,0,7.2292,1,0,1,0
58,1,2,5.0,1,2,27.75,0,1,0,0
59,0,3,11.0,5,2,46.9,1,1,0,0
60,0,3,22.0,0,0,7.2292,1,0,1,0
